country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Central African Republic,CF,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/central-african-republic,AFREC Database,107.0,107.0,107.0,134.0,151.300003051758,162.130004882813,168.0,169.0,169.0,230.0,219.0,226.0,238.550003051758,212.310607910156,219.154006958008,151.952590942383,154.817184448242,156.888702392578,155.813446044922,157.94450378418,160.134124755859,147.334411621094,,,
Central African Republic,CF,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/central-african-republic,IRENA database,39.8499984741211,39.8499984741211,39.8499984741211,39.8499984741211,39.8499984741211,37.9500007629395,37.9500007629395,37.9500007629395,37.9500007629395,37.9500007629395,37.9500007629395,38.0499992370605,38.1500015258789,38.1500015258789,41.1500015258789,41.1500015258789,41.1500015258789,41.1500015258789,41.1500015258789,41.1660003662109,41.1660003662109,91.1660003662109,91.1660003662109,,
Chad,TD,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/chad,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Chad,TD,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/chad,AFREC Database,92.0,87.0,87.0,88.0,91.0,100.0,104.0,99.0,97.0,97.0,100.0,203.0,235.0,269.262420654297,286.0,289.880554199219,294.093139648438,298.624328613281,303.465118408203,308.610168457031,314.057067871094,374.775604248047,,,
Chad,TD,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/chad,IRENA database,31.0,31.0,31.0,153.0,155.0,157.0,157.0,179.0,179.0,179.0,179.001998901367,179.001998901367,284.002990722656,284.049987792969,284.049987792969,284.171997070313,285.273010253906,285.290008544922,285.661987304688,285.661987304688,286.157012939453,286.205993652344,286.691986083984,,
Comoros,KM,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/comoros,AFREC Database,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.34999990463257,5.0,5.22116661071777,5.45472002029419,5.70186948776245,5.96393013000488,6.24232530593872,6.53862953186035,6.85457849502563,,,
Comoros,KM,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/comoros,AFREC Database,20.0,28.0,31.0,39.0,49.0,53.0,45.0,52.0,38.0,37.0,37.0,59.6350402832031,62.3650436401367,65.5815353393555,65.0350036621094,67.5726776123047,70.4447326660156,73.5284957885742,76.8418960571289,77.4487915039063,81.1335906982422,85.0960845947266,,,
Comoros,KM,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/comoros,IRENA database,12.6999998092651,12.6999998092651,11.9099998474121,12.210000038147,25.5,18.9479999542236,17.7479991912842,15.4879999160767,23.0480003356934,23.0480003356934,23.0480003356934,23.0480003356934,23.0480003356934,23.0480003356934,23.0480003356934,23.0480003356934,23.8530006408691,24.1940002441406,24.1940002441406,24.2129993438721,24.2000007629395,23.4099998474121,27.0820007324219,,
Congo Democratic Republic,CD,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/congo-democratic-republic,AFREC Database,6001.0,5729.0,5901.0,6425.0,6830.0,7396.0,7288.0,7575.0,7211.0,7520.39990234375,7591.0,7235.0,7585.76318359375,8231.0,8820.0,8916.0,9099.0,9769.939453125,10538.25,11346.158203125,12236.8798828125,13628.8017578125,,,
Congo Democratic Republic,CD,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/congo-democratic-republic,AFREC Database,6020.0,5747.0,5920.0,6446.0,6852.0,7419.0,7312.0,7582.0,7228.0,7526.08984375,7600.0,7258.826171875,7597.94580078125,8245.037109375,8847.2998046875,8960.3896484375,9142.5087890625,9814.509765625,10592.4677734375,11402.16015625,12295.0146484375,13671.4248046875,,,
